Object,BÅ|V,Per (day)
SUN,0.642,26.09
HD_691,0.755,6.05
HD_1326_A,1.56,44.8
HD_1835,0.659,7.78
HD_2454,0.447,7.8
HD_3651,0.85,48
HD_4628,0.89,38.5
HD_6963,0.73,15.86
HD_7590,0.594,5.67
HD_7661,0.753,7.46
HD_8907,0.505,3.13
HD_9472,0.666,11.1
HD_10476,0.836,35.2
HD_10780,0.804,23
HD_11507,1.424,15.8
HD_11850,0.711,8
HD_12786,0.832,15.78
HD_13507,0.672,7.45
HD_13531,0.7,7.49
HD_13579,0.92,6.79
HD_16157,1.39,1.56
HD_16160,0.918,48
HD_16673,0.524,7.4
HD_17925,0.862,6.76
HD_18940,0.624,8.92
HD_19019,0.552,9.7
HD_19632,0.678,12.42
HD_19668,0.81,5.48
HD_20630,0.681,9.4
HD_22049,0.881,11.68
HD_25457,0.516,3.13
HD_25998,0.52,2.6
HD_26736,0.657,8.48
HD_26767,0.64,8.69
HD_26913,0.68,7.15
HD_26990,0.661,12.8
HD_27250,0.745,9.39
HD_27406,0.56,5.44
HD_27836,0.604,7.1
HD_27859,0.599,7.96
HD_28068,0.651,7.73
HD_28099,0.664,8.67
HD_28205,0.537,5.87
HD_28237,0.56,5.3
HD_28291,0.741,11.52
HD_28344,0.609,7.41
HD_28495,0.759,7
HD_28992,0.631,8.55
HD_29310,0.597,6.46
HD_30495,0.632,7.6
HD_32147,1.049,48
HD_32850,0.804,17.99
HD_35296,0.544,3.6
HD_35850,0.553,0.97
HD_36395,1.474,33.61
HD_36705,0.83,0.51
HD_37216,0.764,14.6
HD_37394,0.84,10.78
HD_37572,0.845,4.52
HD_38949,0.566,7.6
HD_39587,0.594,5.36
HD_45081,0.963,2.66
HD_59747,0.863,8.03
HD_70516,0.652,3.97
HD_72905,0.618,5.22
HD_75302,0.689,16.4
HD_75393,0.536,2.08
HD_75732,0.869,37.4
HD_76218,0.771,9.2
HD_77407,0.609,2.86
HD_78366,0.585,9.67
HD_79211,1.42,10.17
HD_82558,0.933,1.7
HD_82443,0.779,5.41
HD_82885,0.77,18.6
HD_85301,0.718,7.47
HD_87424,0.891,10.74
HD_88230,1.326,11.67
HD_90905,0.562,2.6
HD_92855,0.565,4.41
HD_95188,0.76,6.81
HD_95650,1.437,2.94
HD_95735,1.502,48
HD_97334,0.6,7.94
HD_97658,0.845,38.5
HD_98712,1.34,11.6
HD_100180,0.57,14
HD_101472,0.549,4.46
HD_101501,0.723,16.06
HD_103095,0.754,31.1
HD_104576,0.708,9.1
HD_106516,0.47,6.91
HD_113449,0.847,6.47
HD_114378,0.455,3
HD_114710,0.572,12.35
HD_115043,0.603,5.87
HD_115383,0.585,3.33
HD_115404,0.926,18.47
HD_115617,0.709,29
HD_118100,1.21,3.96
HD_120136,0.508,3.05
HD_128311,0.973,11.54
HD_129333,0.626,2.67
HD_128621,0.9,36.2
HD_130307,0.893,21.79
HD_131156_A,0.72,6.31
HD_131156_B,1.156,11.94
HD_131977,1.024,32.5
HD_132173,0.554,4.92
HD_133295,0.573,5
HD_134319,0.677,4.43
HD_141004,0.604,25.8
HD_141272,0.801,14.05
HD_143761,0.612,17
HD_145229,0.604,8.4
HD_149661,0.827,21.07
HD_150554,0.591,10.8
HD_152391,0.749,11.43
HD_152555,0.591,2.77
HD_154417,0.578,7.8
HD_155885,0.855,21.11
HD_155886,0.855,20.69
HD_156026,1.144,18
HD_157881,1.359,11.94
HD_160346,0.959,36.4
HD_165341_A,0.86,19.7
HD_166435,0.633,3.8
HD_166620,0.876,42.4
HD_168603,0.771,4.83
HD_170778,0.619,6.46
HD_172649,0.525,3.94
HD_178428,0.705,22
HD_180161,0.804,5.49
HD_182101,0.458,5.02
HD_186427,0.661,31
HD_187691,0.563,15
HD_187897,0.647,11
HD_189733,0.932,11.8
HD_190007,1.128,28.95
HD_190406,0.6,13.94
HD_193017,0.567,8.9
HD_199019,0.767,6.54
HD_200746,0.654,7.61
HD_201091,1.069,35.37
HD_201092,1.309,37.84
HD_201219,0.692,16
HD_201989,0.689,14.8
HD_203030,0.75,6.67
HD_204277,0.529,4.5
HD_205905,0.623,11.18
HD_206374,0.686,19.2
HD_206860,0.587,4.86
HD_209253,0.504,3
HD_209393,0.693,7.2
HD_209779,0.674,10.1
HD_210667,0.812,9.08
HD_216803,1.094,9.87
HD_217014,0.666,37
HD_220182,0.801,7.49
HD_245409,1.415,12.29
HD_284253,0.813,10.26
HD_284414,0.908,9.9
HD_285690,0.98,12.64
HD_285773,0.831,11.38
HD_285968,1.523,38.92
HIP 6276,0.791,6.4
HIP 49986,1.487,21.56
HIP 63510,1.448,1.54
HIP 86087,1.456,18.6